Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,27
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49674,c2b3_23-R3,F,TBD,,,,,1929,GC-MS,49868,c2b3_23-R3,dodecan-1-ol,,2018-03-15 16:46:54.849892+00:00,hours,g/L,0
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49673,c2b3_23-R2,F,TBD,,,,,1929,GC-MS,49867,c2b3_23-R2,dodecan-1-ol,,2018-03-15 16:46:54.821773+00:00,hours,g/L,0
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49671,c2b3_22-R3,F,TBD,,,,,1929,GC-MS,49865,c2b3_22-R3,dodecan-1-ol,,2018-03-15 16:46:54.765075+00:00,hours,g/L,0
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49667,c2b3_21-R2,F,TBD,,,,,1929,GC-MS,49861,c2b3_21-R2,dodecan-1-ol,,2018-03-15 16:46:54.653387+00:00,hours,g/L,0.01294
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49659,c2b3_17-R3,F,TBD,,,,,1929,GC-MS,49853,c2b3_17-R3,dodecan-1-ol,,2018-03-15 16:46:54.355794+00:00,hours,g/L,0
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49643,c2b3_8-R2,F,TBD,,,,,1929,GC-MS,49837,c2b3_8-R2,dodecan-1-ol,,2018-03-15 16:46:53.806246+00:00,hours,g/L,0.10105
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49642,c2b3_8-R1,F,TBD,,,,,1929,GC-MS,49836,c2b3_8-R1,dodecan-1-ol,,2018-03-15 16:46:53.768232+00:00,hours,g/L,0.10366
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49658,c2b3_17-R2,F,TBD,,,,,1929,GC-MS,49852,c2b3_17-R2,dodecan-1-ol,,2018-03-15 16:46:54.310833+00:00,hours,g/L,0
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49641,c2b3_7-R3,F,TBD,,,,,1929,GC-MS,49835,c2b3_7-R3,dodecan-1-ol,,2018-03-15 16:46:53.728397+00:00,hours,g/L,0.80331
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49640,c2b3_7-R2,F,TBD,,,,,1929,GC-MS,49834,c2b3_7-R2,dodecan-1-ol,,2018-03-15 16:46:53.688909+00:00,hours,g/L,0.73397
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49666,c2b3_21-R1,F,TBD,,,,,1929,GC-MS,49860,c2b3_21-R1,dodecan-1-ol,,2018-03-15 16:46:54.624422+00:00,hours,g/L,0.01319
49580,Ajinomoto Cycle 2 Batch 3,PaulOpgenorth@lbl.gov,49657,c2b3_17-R1,F,TBD,,,,,1929,GC-MS,49851,c2b3_17-R1,dodecan-1-ol,,2018-03-15 16:46:54.279957+00:00,hours,g/L,0.00041
