Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,27.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49942,c2-b4-01_c2-R3,F,TBD,,,,,1929,GC-MS,50014,c2-b4-01_c2-R3,dodecan-1-ol,,2018-03-22 18:13:52.034531+00:00,hours,g/L,0.37076
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49951,c2-b4-11_c2-R3,F,TBD,,,,,1929,GC-MS,50026,c2-b4-11_c2-R3,dodecan-1-ol,,2018-03-22 18:13:52.474076+00:00,hours,g/L,0.20522
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49956,c2-b4-24_c2-R2,F,TBD,,,,,1929,GC-MS,50028,c2-b4-24_c2-R2,dodecan-1-ol,,2018-03-22 18:13:52.547356+00:00,hours,g/L,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49957,c2-b4-24_c2-R3,F,TBD,,,,,1929,GC-MS,50029,c2-b4-24_c2-R3,dodecan-1-ol,,2018-03-22 18:13:52.582770+00:00,hours,g/L,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49941,c2-b4-01_c2-R2,F,TBD,,,,,1929,GC-MS,50013,c2-b4-01_c2-R2,dodecan-1-ol,,2018-03-22 18:13:51.997827+00:00,hours,g/L,0.35211
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49945,c2-b4-02_c2-R3,F,TBD,,,,,1929,GC-MS,50017,c2-b4-02_c2-R3,dodecan-1-ol,,2018-03-22 18:13:52.143332+00:00,hours,g/L,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49948,c2-b4-04_c2-R3,F,TBD,,,,,1929,GC-MS,50020,c2-b4-04_c2-R3,dodecan-1-ol,,2018-03-22 18:13:52.255915+00:00,hours,g/L,0.27516
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49952,c2-b4-14_c2-R1,F,TBD,,,,,1929,GC-MS,50021,c2-b4-14_c2-R1,dodecan-1-ol,,2018-03-22 18:13:52.296909+00:00,hours,g/L,0.67963
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49940,c2-b4-01_c2-R1,F,TBD,,,,,1929,GC-MS,50012,c2-b4-01_c2-R1,dodecan-1-ol,,2018-03-22 18:13:51.960741+00:00,hours,g/L,0.33696
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49950,c2-b4-11_c2-R2,F,TBD,,,,,1929,GC-MS,50025,c2-b4-11_c2-R2,dodecan-1-ol,,2018-03-22 18:13:52.435900+00:00,hours,g/L,0.17383
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49944,c2-b4-02_c2-R2,F,TBD,,,,,1929,GC-MS,50016,c2-b4-02_c2-R2,dodecan-1-ol,,2018-03-22 18:13:52.105754+00:00,hours,g/L,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49955,c2-b4-24_c2-R1,F,TBD,,,,,1929,GC-MS,50027,c2-b4-24_c2-R1,dodecan-1-ol,,2018-03-22 18:13:52.511553+00:00,hours,g/L,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49939,c2-b4-11_c1-R3,F,JBEI-17785,,,,,1929,GC-MS,50011,c2-b4-11_c1-R3,dodecan-1-ol,,2018-03-22 18:13:51.893065+00:00,hours,g/L,0.6788
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49947,c2-b4-04_c2-R2,F,TBD,,,,,1929,GC-MS,50019,c2-b4-04_c2-R2,dodecan-1-ol,,2018-03-22 18:13:52.219779+00:00,hours,g/L,0.25846
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49953,c2-b4-14_c2-R2,F,TBD,,,,,1929,GC-MS,50022,c2-b4-14_c2-R2,dodecan-1-ol,,2018-03-22 18:13:52.330422+00:00,hours,g/L,0.65743
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49943,c2-b4-02_c2-R1,F,TBD,,,,,1929,GC-MS,50015,c2-b4-02_c2-R1,dodecan-1-ol,,2018-03-22 18:13:52.069616+00:00,hours,g/L,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49938,c2-b4-11_c1-R2,F,JBEI-17785,,,,,1929,GC-MS,50010,c2-b4-11_c1-R2,dodecan-1-ol,,2018-03-22 18:13:51.846340+00:00,hours,g/L,0.6981
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49954,c2-b4-14_c2-R3,F,TBD,,,,,1929,GC-MS,50023,c2-b4-14_c2-R3,dodecan-1-ol,,2018-03-22 18:13:52.358803+00:00,hours,g/L,0.63307
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49949,c2-b4-11_c2-R1,F,TBD,,,,,1929,GC-MS,50024,c2-b4-11_c2-R1,dodecan-1-ol,,2018-03-22 18:13:52.399569+00:00,hours,g/L,0.16912
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49946,c2-b4-04_c2-R1,F,TBD,,,,,1929,GC-MS,50018,c2-b4-04_c2-R1,dodecan-1-ol,,2018-03-22 18:13:52.179634+00:00,hours,g/L,0.24434
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49937,c2-b4-11_c1-R1,F,JBEI-17785,,,,,1929,GC-MS,50009,c2-b4-11_c1-R1,dodecan-1-ol,,2018-03-22 18:13:51.809337+00:00,hours,g/L,0.68394
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49950,c2-b4-11_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49983,c2-b4-11_c2-R2,LCFA_ECOLI,,2018-03-20 22:57:23.903384+00:00,hours,,246862.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49950,c2-b4-11_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49983,c2-b4-11_c2-R2,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:23.931707+00:00,hours,,228708.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49950,c2-b4-11_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49983,c2-b4-11_c2-R2,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:23.960875+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49949,c2-b4-11_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49982,c2-b4-11_c2-R1,LCFA_ECOLI,,2018-03-20 22:57:23.729028+00:00,hours,,269720.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49949,c2-b4-11_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49982,c2-b4-11_c2-R1,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:23.757795+00:00,hours,,250711.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49949,c2-b4-11_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49982,c2-b4-11_c2-R1,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:23.787991+00:00,hours,,1224.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49948,c2-b4-04_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49978,c2-b4-04_c2-R3,LCFA_ECOLI,,2018-03-20 22:57:23.039524+00:00,hours,,251422.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49948,c2-b4-04_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49978,c2-b4-04_c2-R3,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:23.067874+00:00,hours,,303288.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49948,c2-b4-04_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49978,c2-b4-04_c2-R3,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:23.097833+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49947,c2-b4-04_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49977,c2-b4-04_c2-R2,LCFA_ECOLI,,2018-03-20 22:57:22.850279+00:00,hours,,236865.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49947,c2-b4-04_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49977,c2-b4-04_c2-R2,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:22.894929+00:00,hours,,272740.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49947,c2-b4-04_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49977,c2-b4-04_c2-R2,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:22.925038+00:00,hours,,2353.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49946,c2-b4-04_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49976,c2-b4-04_c2-R1,LCFA_ECOLI,,2018-03-20 22:57:22.653449+00:00,hours,,247382.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49946,c2-b4-04_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49976,c2-b4-04_c2-R1,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:22.682437+00:00,hours,,280000.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49946,c2-b4-04_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49976,c2-b4-04_c2-R1,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:22.710984+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49945,c2-b4-02_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49975,c2-b4-02_c2-R3,LCFA_ECOLI,,2018-03-20 22:57:22.475664+00:00,hours,,296409.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49945,c2-b4-02_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49975,c2-b4-02_c2-R3,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:22.504738+00:00,hours,,17736.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49945,c2-b4-02_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49975,c2-b4-02_c2-R3,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:22.533706+00:00,hours,,1135.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49944,c2-b4-02_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49974,c2-b4-02_c2-R2,LCFA_ECOLI,,2018-03-20 22:57:22.303901+00:00,hours,,294208.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49944,c2-b4-02_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49974,c2-b4-02_c2-R2,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:22.332601+00:00,hours,,25199.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49944,c2-b4-02_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49974,c2-b4-02_c2-R2,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:22.361407+00:00,hours,,887.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49943,c2-b4-02_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49973,c2-b4-02_c2-R1,LCFA_ECOLI,,2018-03-20 22:57:22.128009+00:00,hours,,285965.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49943,c2-b4-02_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49973,c2-b4-02_c2-R1,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:22.157100+00:00,hours,,22397.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49943,c2-b4-02_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49973,c2-b4-02_c2-R1,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:22.187054+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49942,c2-b4-01_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49972,c2-b4-01_c2-R3,LCFA_ECOLI,,2018-03-20 22:57:21.955537+00:00,hours,,235110.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49942,c2-b4-01_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49972,c2-b4-01_c2-R3,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:21.984608+00:00,hours,,189740.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49942,c2-b4-01_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49972,c2-b4-01_c2-R3,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:22.012701+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49941,c2-b4-01_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49971,c2-b4-01_c2-R2,LCFA_ECOLI,,2018-03-20 22:57:21.784621+00:00,hours,,231424.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49941,c2-b4-01_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49971,c2-b4-01_c2-R2,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:21.813886+00:00,hours,,194337.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49941,c2-b4-01_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49971,c2-b4-01_c2-R2,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:21.842830+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49940,c2-b4-01_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49970,c2-b4-01_c2-R1,LCFA_ECOLI,,2018-03-20 22:57:21.591297+00:00,hours,,217353.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49940,c2-b4-01_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49970,c2-b4-01_c2-R1,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:21.638230+00:00,hours,,175485.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49940,c2-b4-01_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49970,c2-b4-01_c2-R1,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:21.667898+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49939,c2-b4-11_c1-R3,F,JBEI-17785,,,,,1941,Targeted Proteomics,49981,c2-b4-11_c1-R3,LCFA_ECOLI,,2018-03-20 22:57:23.556191+00:00,hours,,211659.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49939,c2-b4-11_c1-R3,F,JBEI-17785,,,,,1941,Targeted Proteomics,49981,c2-b4-11_c1-R3,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:23.584381+00:00,hours,,117200.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49939,c2-b4-11_c1-R3,F,JBEI-17785,,,,,1941,Targeted Proteomics,49981,c2-b4-11_c1-R3,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:23.613792+00:00,hours,,632.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49938,c2-b4-11_c1-R2,F,JBEI-17785,,,,,1941,Targeted Proteomics,49980,c2-b4-11_c1-R2,LCFA_ECOLI,,2018-03-20 22:57:23.382477+00:00,hours,,219170.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49938,c2-b4-11_c1-R2,F,JBEI-17785,,,,,1941,Targeted Proteomics,49980,c2-b4-11_c1-R2,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:23.411276+00:00,hours,,116151.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49938,c2-b4-11_c1-R2,F,JBEI-17785,,,,,1941,Targeted Proteomics,49980,c2-b4-11_c1-R2,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:23.439460+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49937,c2-b4-11_c1-R1,F,JBEI-17785,,,,,1941,Targeted Proteomics,49979,c2-b4-11_c1-R1,LCFA_ECOLI,,2018-03-20 22:57:23.211868+00:00,hours,,217404.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49937,c2-b4-11_c1-R1,F,JBEI-17785,,,,,1941,Targeted Proteomics,49979,c2-b4-11_c1-R1,sp|Q41635|FATB_UMBCA,,2018-03-20 22:57:23.240140+00:00,hours,,105854.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49937,c2-b4-11_c1-R1,F,JBEI-17785,,,,,1941,Targeted Proteomics,49979,c2-b4-11_c1-R1,sp|Q6F7B8|ACR1_ACIAD,,2018-03-20 22:57:23.268585+00:00,hours,,0.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49957,c2-b4-24_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49990,c2-b4-24_c2-R3,AHR_ECOLI,,2018-03-20 22:57:25.200513+00:00,hours,,4773.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49957,c2-b4-24_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49990,c2-b4-24_c2-R3,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:25.344780+00:00,hours,,4815.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49956,c2-b4-24_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49989,c2-b4-24_c2-R2,AHR_ECOLI,,2018-03-20 22:57:25.028586+00:00,hours,,4330.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49956,c2-b4-24_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49989,c2-b4-24_c2-R2,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:25.172221+00:00,hours,,4972.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49955,c2-b4-24_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49988,c2-b4-24_c2-R1,AHR_ECOLI,,2018-03-20 22:57:24.859757+00:00,hours,,6290.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49955,c2-b4-24_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49988,c2-b4-24_c2-R1,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:25.000607+00:00,hours,,9208.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49954,c2-b4-14_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49987,c2-b4-14_c2-R3,AHR_ECOLI,,2018-03-20 22:57:24.650870+00:00,hours,,866.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49954,c2-b4-14_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49987,c2-b4-14_c2-R3,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:24.830770+00:00,hours,,189071.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49953,c2-b4-14_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49986,c2-b4-14_c2-R2,AHR_ECOLI,,2018-03-20 22:57:24.429003+00:00,hours,,1353.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49953,c2-b4-14_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49986,c2-b4-14_c2-R2,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:24.607363+00:00,hours,,207290.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49952,c2-b4-14_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49985,c2-b4-14_c2-R1,AHR_ECOLI,,2018-03-20 22:57:24.223782+00:00,hours,,1575.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49952,c2-b4-14_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49985,c2-b4-14_c2-R1,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:24.392994+00:00,hours,,199425.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49951,c2-b4-11_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49984,c2-b4-11_c2-R3,AHR_ECOLI,,2018-03-20 22:57:24.046897+00:00,hours,,2836.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49951,c2-b4-11_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49984,c2-b4-11_c2-R3,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:24.193363+00:00,hours,,1268031.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49950,c2-b4-11_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49983,c2-b4-11_c2-R2,AHR_ECOLI,,2018-03-20 22:57:23.875896+00:00,hours,,2978.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49950,c2-b4-11_c2-R2,F,TBD,,,,,1941,Targeted Proteomics,49983,c2-b4-11_c2-R2,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:24.018091+00:00,hours,,1395259.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49949,c2-b4-11_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49982,c2-b4-11_c2-R1,AHR_ECOLI,,2018-03-20 22:57:23.700879+00:00,hours,,4359.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49949,c2-b4-11_c2-R1,F,TBD,,,,,1941,Targeted Proteomics,49982,c2-b4-11_c2-R1,tr|A1U3L3|A1U3L3_MARHV,,2018-03-20 22:57:23.846694+00:00,hours,,1489403.0
49870,Ajinomoto cycle 2 batch 4,PaulOpgenorth@lbl.gov,49948,c2-b4-04_c2-R3,F,TBD,,,,,1941,Targeted Proteomics,49978,c2-b4-04_c2-R3,AHR_ECOLI,,2018-03-20 22:57:23.011252+00:00,hours,,1849.0
