Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47148,b2-36-3,F,JBEI-17812,2% Glucose,100% unlabeled,,,1929,GC-MS,47508,b2-36-3,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:07.771206+00:00,hours,g/L,,0.00525
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47097,b1-15-1,F,JBEI-17787,2% Glucose,100% unlabeled,,,1929,GC-MS,47457,b-1-15-1,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:02.467069+00:00,hours,g/L,,0.0
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47114,b2-25-2,F,JBEI-17808,2% Glucose,100% unlabeled,,,1929,GC-MS,47474,b2-25-2,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:04.259249+00:00,hours,g/L,,0.06282
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47096,b1-12-2,F,JBEI-17786,2% Glucose,100% unlabeled,,,1929,GC-MS,47456,b1-12-2,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:02.373041+00:00,hours,g/L,,0.20065
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47098,b1-15-2,F,JBEI-17787,2% Glucose,100% unlabeled,,,1929,GC-MS,47458,b-1-15-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:02.648047+00:00,hours,g/L,,0.03347
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47095,b1-12-1,F,JBEI-17786,2% Glucose,100% unlabeled,,,1929,GC-MS,47455,b1-12-1,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:02.280010+00:00,hours,g/L,,0.19996
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47090,b1-08-2,F,JBEI-17791,2% Glucose,100% unlabeled,,,1929,GC-MS,47450,b1-08-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:01.671624+00:00,hours,g/L,,0.06743
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47094,b1-11-2,F,JBEI-17785,2% Glucose,100% unlabeled,,,1929,GC-MS,47454,b1-11-2,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:02.185168+00:00,hours,g/L,,0.54166
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47086,b1-02-2,F,JBEI-17789,2% Glucose,100% unlabeled,,,1929,GC-MS,47446,b1-02-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:01.220224+00:00,hours,g/L,,0.04364
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47093,b1-11-1,F,JBEI-17785,2% Glucose,100% unlabeled,,,1929,GC-MS,47453,b1-11-1,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:02.053161+00:00,hours,g/L,,0.53039
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47084,b1-01-2,F,JBEI-17784,2% Glucose,100% unlabeled,,,1929,GC-MS,47444,b1-01-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:00.932710+00:00,hours,g/L,,0.05397
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47085,b1-02-1,F,JBEI-17789,2% Glucose,100% unlabeled,,,1929,GC-MS,47445,b1-02-1,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:01.043844+00:00,hours,g/L,,0.67474
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47083,b1-01-1,F,JBEI-17784,2% Glucose,100% unlabeled,,,1929,GC-MS,47443,b1-01-1,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:00.790697+00:00,hours,g/L,,0.05971
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47084,b1-01-2,F,JBEI-17784,2% Glucose,100% unlabeled,,,1929,GC-MS,47444,b1-01-2,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:00.897383+00:00,hours,g/L,,0.65691
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47083,b1-01-1,F,JBEI-17784,2% Glucose,100% unlabeled,,,1929,GC-MS,47443,b1-01-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:00.861237+00:00,hours,g/L,,0.07051
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47083,b1-01-1,F,JBEI-17784,2% Glucose,100% unlabeled,,,1929,GC-MS,47443,b1-01-1,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:00.752537+00:00,hours,g/L,,0.72127
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47085,b1-02-1,F,JBEI-17789,2% Glucose,100% unlabeled,,,1929,GC-MS,47445,b1-02-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:01.163604+00:00,hours,g/L,,0.06985
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47092,b1-09-2,F,JBEI-17792,2% Glucose,100% unlabeled,,,1929,GC-MS,47452,b1-09-2,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:01.909529+00:00,hours,g/L,,0.49699
47082,Ajinomoto Cycle 1,PaulOpgenorth@lbl.gov,47084,b1-01-2,F,JBEI-17784,2% Glucose,100% unlabeled,,,1929,GC-MS,47444,b1-01-2,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:01.006040+00:00,hours,g/L,,0.07039
